Uniprot-ID	Biogrid-ID	Gene-Name	Ref-Seq	Protein-Name	Gene-ID	Old-Uniprot-IDs	Isoformes
P06844	32454;	SPT3	NP_010680	SPT3	YDR392W	D6VT26;Q70DE7;Q70DE9;Q70DF1;Q70DF2;	0
P47821	35801;	SSN8	NP_014373	SSN8	YNL025C	D6W1F3;	0
P38637	35003;	STS1	NP_012276	STS1	YIR011C	D6VVU1;P35188;	0
Q07478	31977;	SUB2	NP_010199	SUB2	YDL084W	D6VRR5;	0
P40083	36883;	YER137C	NP_011063	YEW7	YER137C	D3DM42;	0
P40093	36906;	YER156C	NP_011083	YEY6	YER156C	D3DM63;	0
P0C5M9	NA	YFR009W-A	NA	YF009	YFR009W-A	NA	0
Q8TGR2	NA	YFR034W-A	NA	YF034	YFR034W-A	NA	0
Q12331	32318;	YDR262W	NP_010548	YFAS1	YDR262W	D6VSP6;	0
P43562	31106;	YFL040W	NP_116613	YFE0	YFL040W	D6VTJ0;	0
P43549	31093;	YFL054C	NP_116601	YFF4	YFL054C	D6VTH6;	0
Q8TGU0	36997;	YGL007C-A	NP_878075	YG007	YGL007C-A	D6VUD0;	0
Q12085	33269;	TY1A-GR1	NP_058159	YG11A	YGR027W-A	D6VUG2;	2
Q12485	33286;	TY1A-GR2	NP_058161	YG12A	YGR038C-A	D6VUH7;	2
P0CX67	36913;	TY1A-GR3	NP_013766	YG13A	YGR161C-C	D3DM68;Q12231;	2
Q8TGT8	37003;	YGR174W-A	NP_878081	YG174	YGR174W-A	D6VUV9;	0
P53211	300601;	YGR018C	NP_001257676	YG1C	YGR018C	I2HB60;	0
P53217	33267;	YGR026W	NP_011540	YG1I	YGR026W	D6VUF9;	0
P0CX96	NA	YGR296C-B	NP_001073292	YG296	YGR296C-B	D3DMA0;Q8TFA4;	0
P53249	33321;	YGR079W	NP_011593	YG2G	YGR079W	D6VUL1;	0
P53282	NA	YGR137W	NA	YG3E	YGR137W	NA	0
P32475	NA	YGR176W	NA	YG3Z	YGR176W	NA	0
P53300	NA	YGR182C	NA	YG45	YGR182C	NA	0
P53316	33501;	YGR250C	NP_011766	YG5B	YGR250C	D6VV30;	0
P53138	NA	YGL109W	NA	YGK9	YGL109W	NA	0
P53113	NA	YGL152C	NA	YGP2	YGL152C	NA	0
P38870	36615;	YHR182W	NP_012052	YHY2	YHR182W	D3DLD0;	0
A0A023PZJ3	NA	YIL030W-A	NA	YI030	YIL030W-A	NA	0
A0A023PXF8	NA	YIL066W-A	NA	YI066	YIL066W-A	NA	0
Q03884	NA	YIL100C-A	NA	YI100	YIL100C-A	NA	0
A0A023PXN9	NA	YIL171W-A	NA	YI171	YIL171W-A	NA	0
A0A023PXG3	NA	YIL156W-A	NA	YI56A	YIL156W-A	NA	0
P40556	34986;	YIA6	NP_012260	YIA6	YIL006W	D6VVS4;	0
P40543	34964;	YIL024C	NP_012240	YIC4	YIL024C	D6VVQ5;	0
P40536	NA	YIL032C	NA	YID2	YIL032C	NA	0
P40521	NA	YIL058W	NA	YIF8	YIL058W	Q870I2;	0
P25637	31036;	YIH1	NP_009985	YIH1	YCR059C	D6VR64;	0
P40483	34883;	YIL108W	NP_012158	YIK8	YIL108W	D6VVH9;Q6B2N8;	0
P47107	33790;	YJR039W	NP_012573	YJ09	YJR039W	D6VWL0;	0
P0CX74	35130;	TY1A-JR1	NP_012561	YJ11A	YJR026W	D6VWK0;P47097;Q66R50;	2
Q3E7A3	37007;	YJL133C-A	NP_878102	YJ133	YJL133C-A	D6VW51;	0
P0C5P0	NA	YJL197C-A	NA	YJ197	YJL197C-A	NA	0
P47115	33812;	YJR056C	NP_012590	YJ26	YJR056C	D6VWM7;	0
P47139	33853;	YJR098C	NP_012632	YJ68	YJR098C	D6VWR7;	0
Q8TGT3	37009;	YJL077W-B	NP_878104	YJ77B	YJL077W-B	D6VWA6;	0
P47148	33867;	YJR111C	NP_012645	YJ81	YJR111C	D6VWT0;	0
P47173	33898;	YJR142W	NP_012676	YJ9J	YJR142W	D6VWW1;	0
P47066	NA	YJL022W	NA	YJC2	YJL022W	NA	0
P47062	300654;	YJL028W	NP_012506	YJC8	YJL028W	D6VWF4;	0
P47059	NA	YJL032W	NA	YJD2	YJL032W	NA	0
P40365	NA	YJL067W	NA	YJG7	YJL067W	NA	0
P42947	33649;	YJL107C	NP_012428	YJK7	YJL107C	D6VW77;	0
P0CL26	NA	YJL222W-A	NA	YJL2A	YJL222W-A	P40437;Q547K6;	0
P47003	NA	YJL152W	NA	YJP2	YJL152W	NA	0
P39542	33570;	YJL193W	NP_012342	YJT3	YJL193W	D6VVZ8;	0
P40898	NA	YJL211C	NA	YJV1	YJL211C	NA	0
P39529	33552;	YJL206C	NP_012329	YJU6	YJL206C	D6VVY8;	0
P47090	33771;	YJR015W	NP_012549	YJY5	YJR015W	D6VWJ1;Q66R65;	0
P0C5P2	NA	YKL100W-A	NA	YK100	YKL100W-A	NA	0
P36127	NA	YKR032W	NA	YK12	YKR032W	A0A1S0T091;	0
P0C5P3	NA	YKL145W-A	NA	YK145	YKL145W-A	NA	0
P0C5P5	NA	YKL165C-A	NA	YK165	YKL165C-A	NA	0
P36098	NA	YKL031W	NA	YKD1	YKL031W	NA	0
P35733	NA	YKL053W	NA	YKF3	YKL053W	NA	0
P36079	NA	YKL083W	NA	YKI3	YKL083W	NA	0
P33324	34042;	YKL091C	NP_012832	YKJ1	YKL091C	D6VXJ7;	0
P34248	34033;	YKL100C	NP_012822	YKK0	YKL100C	D6VXI7;	0
P34251	34026;	YKL107W	NP_012815	YKK7	YKL107W	D6VXI0;	0
P36072	NA	YKL118W	NA	YKL8	YKL118W	NA	0
P36061	NA	YKL147C	NA	YKO7	YKL147C	NA	0
P36015	33925;	YKT6	NP_012725	YKT6	YKL196C	D6VX04;	0
Q07811	NA	YLL020C	NA	YL020	YLL020C	NA	0
Q12336	NA	YLL059C	NA	YL059	YLL059C	NA	0
Q99208	31251;	YLL066C	NP_013034	YL066	YLL066C	D6VXU4;Q12054;	0
P0CX68	36913;	TY1A-LR1	NP_013766	YL11A	YLR035C-B	D3DM68;Q12231;	2
Q12327	NA	YLR124W	NA	YL124	YLR124W	NA	0
P0CX72	36886;	TY1A-LR2	NP_058153	YL12A	YLR157C-A	D3DM44;Q12162;	2
P0C2I5	31429;	TY1B-LR2	NP_058169	YL12B	YLR157C-B	D6VYF8;	2
P0CY05	36957;	YLR159C-A	NP_878122	YL159	YLR159C-A	D6VYF2;Q3E748;Q3E759;Q3E768;Q3E812;	0
P0CE98	31434;	YLR161W	NP_757337	YL161	YLR161W	D6VYF4;Q12478;Q8TGJ5;Q8TGJ6;	0
A0A023PXP4	NA	YLR235C	NA	YL235	YLR235C	NA	0
P54007	31718;	YLR460C	NP_013565	YL460	YLR460C	D6VZ93;	0
P0C5P9	NA	YLR154W-B	NA	YL54B	YLR154W-B	NA	0
P38746	36409;	YLF2	NP_011849	YLF2	YHL014C	D3DKP8;	0
Q3E7A6	35162;	YML007C-A	NP_076904	YM007	YML007C-A	D6VZG7;	0
A0A023PZG9	NA	YML047W-A	NA	YM047	YML047W-A	NA	0
Q3E809	37039;	YML054C-A	NP_878139	YM054	YML054C-A	D6VZC1;	0
Q12744	NA	YML094C-A	NA	YM094	YML094C-A	Q7LHY8;	0
Q8TGS8	NA	YMR105W-A	NP_878142	YM105	YMR105W-A	D6VZS8;	0
P0C5Q4	NA	YMR141W-A	NA	YM141	YMR141W-A	NA	0
A0A023PXH6	NA	YMR172C-A	NA	YM172	YMR172C-A	NA	0
Q6B0R2	NA	YMR193C-A	NA	YM193	YMR193C-A	NA	0
Q3E7B5	37046;	YMR230W-A	NP_878146	YM230	YMR230W-A	D6W056;	0
Q8TGS5	37049;	YMR272W-B	NP_878149	YM272	YMR272W-B	D6W099;	0
A0A023PXI0	NA	YMR306C-A	NA	YM306	YMR306C-A	NA	0
Q8TGS4	37050;	YMR315W-A	NP_878150	YM315	YMR315W-A	D6W0E3;	0
Q03236	35365;	YMR187C	NP_013912	YM49	YMR187C	D6W011;	0
